INFO  | 06/29/2022 06:23:35 AM | File run_exp.py           | Line 26    | Writing log file to /home/alex/Projects/GRAN_social/exp/GRAN/FACEBOOK_LARGE/log_exp_19311.txt
INFO  | 06/29/2022 06:23:35 AM | File run_exp.py           | Line 27    | Exp instance id = 19311
INFO  | 06/29/2022 06:23:35 AM | File run_exp.py           | Line 28    | Exp comment = None
INFO  | 06/29/2022 06:23:35 AM | File run_exp.py           | Line 29    | Config =
INFO  | 06/29/2022 06:23:40 AM | File gran_runner.py       | Line 135   | Train/val/test = 160/40/40
INFO  | 06/29/2022 06:23:41 AM | File gran_runner.py       | Line 148   | No Edges vs. Edges in training set = 89.22312601985614
INFO  | 06/29/2022 06:24:12 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20001 iteration 00000001 = 0.12322749942541122
INFO  | 06/29/2022 06:24:16 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20001 iteration 00000015 = 0.08232571184635162
INFO  | 06/29/2022 06:24:21 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20002 iteration 00000030 = 0.047312963753938675
INFO  | 06/29/2022 06:24:25 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20003 iteration 00000045 = 0.08809544891119003
INFO  | 06/29/2022 06:24:29 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20004 iteration 00000060 = 0.14260874688625336
INFO  | 06/29/2022 06:24:34 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20005 iteration 00000075 = 0.0850074514746666
INFO  | 06/29/2022 06:24:38 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20006 iteration 00000090 = 0.12821099162101746
INFO  | 06/29/2022 06:24:42 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20007 iteration 00000105 = 0.11640074104070663
INFO  | 06/29/2022 06:24:46 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20008 iteration 00000120 = 0.09351062029600143
INFO  | 06/29/2022 06:24:51 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20009 iteration 00000135 = 0.09780668467283249
INFO  | 06/29/2022 06:24:56 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20010 iteration 00000150 = 0.10967271775007248
INFO  | 06/29/2022 06:25:01 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20011 iteration 00000165 = 0.10126735270023346
INFO  | 06/29/2022 06:25:07 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20012 iteration 00000180 = 0.13857345283031464
INFO  | 06/29/2022 06:25:13 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20013 iteration 00000195 = 0.08507286757230759
